"";"ID";"anio";"dpto";"region";"w_ano";"e26";"e27";"e29_6";"e49";"e51_2";"e51_3";"e51_4_a";"e51_4_b";"e51_5";"e51_6a";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_6";"e51_8";"e218_1";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"8543";22648;2022;11;2;116;1;38;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;2;2;2;2;1;2;30809,85;30809,85;30809,85;5;27;10,3355897230297;30810;10,3355897230297;30810;729
"8544";22649;2022;11;2;29;2;37;3;1;6;0;3;0;3;0;1;0;1;0;0;4;0;0;0;0;0;40;2;2;2;2;1;2;52809,85;52809,85;52809,85;16;15;10,8744530053258;52810;10,8744530053258;52810;225
"8545";22650;2022;11;2;33;2;65;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;2;1;2;2;1;2;47023,8;27223,8;27223,8;6;53;10,7584091355023;47024;10,2118468696947;27224;2809
"8546";22651;2022;11;2;116;1;50;3;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;48;2;2;2;2;1;2;26809,85;26809,85;26809,85;8;36;10,1965246362871;26810;10,1965246362871;26810;1296
"8547";22651;2022;11;2;116;1;32;3;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;28;2;2;2;2;1;2;14809,85;14809,85;14809,85;8;18;9,60304777891886;14810;9,60304777891886;14810;324
"8548";22651;2022;11;2;116;1;25;3;1;6;0;3;0;1;0;1;0;2;0;0;0;0;0;0;0;0;40;2;2;2;2;1;2;24809,85;24809,85;24809,85;10;9;10,1189960307184;24810;10,1189960307184;24810;81
"8549";22652;2022;11;2;29;1;55;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;2;2;2;1;1;2;87809,85;87809,85;87809,85;6;43;11,3829289601189;87810;11,3829289601189;87810;1849
"8550";22652;2022;11;2;29;2;56;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;40;2;2;2;1;1;2;32809,85;32809,85;32809,85;9;41;10,3984840541678;32810;10,3984840541678;32810;1681
"8551";22654;2022;11;2;90;2;33;3;1;6;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;52;2;2;2;2;1;2;29209,85;27809,85;27809,85;9;18;10,2822612601409;29210;10,2331455534702;27810;324
"8552";22655;2022;11;2;78;1;28;3;1;6;0;3;0;0;0;1;0;0;2;1;0;0;0;0;0;0;75;2;2;2;2;1;2;52809,85;52809,85;52809,85;9;13;10,8744530053258;52810;10,8744530053258;52810;169
