IVF;IVFSA
91.26164251;92.57340769
98.0896397;101.4748404
98.74627752;99.75983747
106.2410425;100.5204251
99.95634568;101.2616078
98.36019928;101.7958078
103.6263783;104.7291766
110.215407;104.3074339
99.98583436;101.1940918
98.37854418;101.7937236
99.34154623;100.5064156
106.4597811;100.7197618
100.6792256;101.9639716
95.8059569;98.88524338
97.34325452;98.73241966
102.5371511;96.93709509
97.14278265;98.45519034
92.56437232;95.31124232
92.84896635;94.39419939
98.57265846;93.09055563
88.94600861;90.30601723
88.86276816;91.21895374
84.1999213;85.82370582
89.65117692;84.5367062
82.70922727;84.11478533
86.35375629;88.49443671
88.04521408;89.8466392
97.38353779;91.70256395
91.2499706;92.99265292
89.43899192;91.5435788
90.89879939;92.76902289
100.6433084;94.72489685
94.58368641;96.4637652
97.16910701;99.54525217
99.00705887;100.8475262
109.2401477;102.8481361
101.7801059;103.8911746
100.7049059;103.2870829
102.354493;103.9680776
111.5548046;105.089687
106.3992135;108.7637371
107.0156955;109.8171305
110.0670681;111.4670948
120.1508112;113.3209572
112.2619062;114.9576634
115.0506234;118.006691
119.2986386;120.4671702
128.8573507;121.8094556
116.8033759;119.6854003
118.2972848;121.2907402
124.5352698;125.3992708
136.0090675;128.938102
128.1401398;131.3314951
130.6896529;133.8416231
132.8605902;133.5497067
142.6318248;135.609942
135.3743429;138.6776444
136.7847012;139.8788207
142.7038763;143.3662283
147.0417102;140.1732224
139.879129;143.0798248
140.7857651;143.8497652
146.6922267;147.3716098
154.4287;147.5456932
145.4789167;148.4812062
149.2031514;152.451901
151.4610071;152.2007025
162.6232878;155.6367547
150.2539054;152.9691088
154.8890292;158.3586693
157.3460166;158.1875744
165.9940834;159.0667242
156.3118656;158.7035199
153.5099192;157.1060707
157.1724302;158.0829886
163.8188656;157.1660409
156.3327468;158.2764132
155.3408321;159.2308694
160.2316025;161.1031696
169.5673669;162.9029491
163.0091057;164.6538603
159.5708227;163.8067517
163.2042037;163.9650074
172.3111426;165.7174887
166.250852;167.7443554
163.0457725;167.4639495
166.0948165;166.7936513
173.3655274;166.8137263
165.3855941;166.8572752
163.2178167;167.6195049
167.8710438;168.5418404
173.7532632;167.2103233
163.0721698;164.5714154
145.8649442;149.7848127
