PIBURU
 101,176,264 
 103,306,132 
 104,894,359 
 115,641,694 
 107,972,969 
 106,990,428 
 108,834,565 
 118,640,195 
 113,098,815 
 113,712,967 
 116,931,061 
 127,637,455 
 119,271,873 
 122,245,510 
 126,765,614 
 136,924,234 
 124,111,899 
 125,696,606 
 132,323,135 
 144,514,030 
 136,154,046 
 138,863,725 
 141,170,856 
 151,553,362 
 143,841,662 
 145,340,055 
 151,629,359 
 156,238,511 
 148,628,049 
 149,591,426 
 155,867,278 
 164,087,515 
 154,577,764 
 158,534,959 
 160,934,307 
 172,795,308 
 159,653,011 
 164,577,903 
 167,187,364 
 176,373,932 
 166,082,909 
 163,106,680 
 167,003,237 
 174,075,166 
 166,134,139 
 165,076,569 
 170,252,699 
 180,130,761 
 173,104,499 
 169,468,526 
 173,416,444 
 183,267,113 
 177,071,003 
 173,830,924 
 177,186,971 
 184,976,785 
 176,420,790 
 174,076,684 
 179,017,444 
 185,278,632 
 173,950,504 
 155,566,098 
