 96,969,704.18 
 104,224,766.10 
 104,922,474.08 
 112,886,007.55 
 106,208,227.30 
 104,512,248.14 
 110,107,806.26 
 117,108,953.08 
 106,239,560.38 
 104,531,740.44 
 105,554,974.53 
 113,118,427.34 
 106,976,320.54 
 101,798,247.81 
 103,431,697.42 
 108,950,452.06 
 103,218,686.82 
 98,353,914.68 
 98,656,308.97 
 104,737,995.81 
 94,509,236.37 
 94,420,789.55 
 89,466,299.71 
 95,258,510.22 
 87,882,368.55 
 91,754,848.72 
 93,552,100.63 
 103,474,500.26 
 96,957,302.24 
 95,033,053.87 
 96,584,166.63 
 106,938,156.89 
 100,499,529.04 
 103,246,657.66 
 105,199,566.28 
 116,072,695.14 
 108,146,056.69 
 107,003,607.02 
 108,756,369.46 
 118,532,124.79 
 113,054,071.49 
 113,709,112.07 
 116,951,336.17 
 127,665,778.33 
 119,283,452.91 
 122,246,593.57 
 126,760,305.62 
 136,916,878.06 
 124,108,973.90 
 125,696,320.96 
 132,324,467.76 
 144,515,907.03 
 136,154,808.39 
 138,863,783.62 
 141,170,504.63 
 151,552,892.04 
 143,841,482.88 
 145,340,053.63 
 151,629,450.10 
 156,238,598.74 
 148,628,025.82 
 149,591,368.53 
 155,867,256.34 
 164,087,616.05 
 154,578,058.51 
 158,535,229.64 
 160,934,305.46 
 172,794,743.56 
 159,651,704.21 
 164,576,737.07 
 167,187,399.44 
 176,376,369.33 
 166,088,566.32 
 163,111,369.04 
 167,002,955.89 
 174,065,100.03 
 166,110,753.55 
 165,056,798.48 
 170,253,467.61 
 180,173,147.83 
 173,204,692.84 
 169,551,358.59 
 173,411,993.41 
 183,088,536.01 
 176,649,197.80 
 173,243,653.04 
 176,483,402.91 
 184,208,868.50 
 175,732,348.07 
 173,430,056.14 
 178,375,195.76 
 184,625,886.23 
 173,271,701.36 
 154,988,230.50 
