PBV;ROE
4.586086438;0.135674155
4.934435365;0.098725881
2.735341482;-0.113688106
2.420558869;0.135224902
2.917320888;0.156771542
1.890063474;0.07033878
0.987555399;0.113450743
1.23669981;0.117990588
3.192432532;0.052846236
8.227273677;0.319446693
0.881765248;0.207585838
1.622240245;0.134336668
3.189256369;0.327287768
3.900233552;0.128504281
2.04210961;0.121375654
1.940692575;0.347770224
1.889257299;0.434362311
2.829601649;0.114285704
2.457579817;0.74083903
4.032729709;0.121492301
25.56139709;0.962601784
3.655913429;0.187766053
1.845898488;0.0082496
5.800972166;0.006775908
5.282231874;0.245401899
1.813806981;0.031900715
3.131143964;0.132030993
1.865120894;0.012750303
3.061485402;0.1241752
2.81818607;0.074957882
2.224931361;0.011812232
5.292040895;0.164738747
3.469134883;0.236481879
1.687508152;0.48075065
2.606524264;0.115388958
4.536016225;0.189841999
1.822770796;0.054464565
1.078986457;0.182660483
4.701218047;0.07091923
3.600661053;0.1233738
4.326155333;-0.002878981
1.286335981;0.307475107
5.326270915;0.490376653
6.773130037;0.025319429
9.167328405;0.331789703
5.972964532;0.177423263
2.593260483;0.174298374
1.729766745;0.055791646
2.199143642;0.057098673
2.128488761;0.17165541
4.057385286;0.154864722
2.753388524;0.210975922
2.02245992;0.079602467
2.250325065;0.324159543
2.431052825;0.470000995
2.716426065;0.04093205
2.066860809;0.30821046
2.496422922;0.19745549
2.849340157;0.468265215
1.982398073;0.093898043
1.675891404;0.036607072
1.579667221;0.051457491
1.927837922;0.088529627
0.942278243;0.105141619
0.966009429;0.06681116
1.646514465;-0.035766857
3.243990224;0.039523434
2.53718942;0.044625534
NA;NA
6.065222452;0.432540803
NA;0.004772696
3.354699653;0.273744361
5.447198665;0.182901056
2.746132855;0.27975167
6.161984429;0.025424242
4.418236642;0.241649949
0.549372074;0.198097705
3.793246267;0.227663911
6.397780511;0.465159337
1.060877665;0.352900094
9.044190385;0.362833026
3.795632582;0.227663418
5.209346954;-0.157308427
8.387814032;0.196832642
1.507757063;0.537480679
2.187931894;0.029708054
5.201333903;0.201291405
1.287295883;0.157579918
NA;NA
4.252470295;0.367817427
6.753225614;0.335553286
3.526151186;0.040536165
1.91799932;0.112411186
3.087202962;0.164747
3.299620222;0.164747
3.893671414;0.172723413
