Fecha;US_BV;US_BG;US_SG;US_SV;RT10;RHY;EMERG;DFA_V;VAN_V
May-18;0.005899887;4.38E-02;0.062254515;0.058325726;0.010400879;0.000342888;-0.026214968;0.062899854;0.021855076
Jun-18;0.002726139;9.62E-03;0.007147109;0.004186798;-0.006173777;0.000724882;-0.051652276;-0.001504388;-0.005738134
Jul-18;0.032460175;2.58E-02;0.015758775;0.013265598;0.005056821;0.016796634;0.042073956;0.018237521;0.032004146
Ago-18;0.020224259;5.74E-02;0.063198892;0.028823458;0.00596801;0.007298116;-0.037672818;0.02842323;0.021352376
Set-18;-0.00377659;3.02E-03;-0.023827923;-0.02827486;-0.008795363;0.005209975;-0.005791118;-0.034607265;-0.002986561
Oct-18;-0.045685474;-8.66E-02;-0.125235601;-0.085763995;-0.035198991;-0.019968623;-0.087604728;-0.091572819;-0.06640047
Nov-18;0.028228842;8.73E-03;0.015274841;0.015765421;0.005077814;-0.004410953;0.049029632;0.009068528;0.02085574
Dic-18;-0.100664027;-8.66E-02;-0.119312197;-0.126117255;0.030545529;-0.025108023;-0.049172345;-0.183006533;-0.165007945
Ene-19;0.084071401;9.18E-02;0.117994023;0.115018544;0.036952894;0.059199231;0.120006416;0.195530159;0.157443346
Feb-19;0.031958439;3.59E-02;0.064500452;0.038987276;-0.010044341;0.007519715;-0.01531331;0.032738057;0.027437379
Mar-19;0.001135016;2.53E-02;-0.014383545;-0.032440367;0.045289498;0.013026412;0.011310171;-0.038040153;-0.002840943
Abr-19;0.04005057;4.74E-02;0.031156309;0.041380259;-0.007173052;0.009934607;0.023532114;0.042011228;0.029629615
May-19;-0.064031295;-6.25E-02;-0.073591093;-0.081959325;0.040765123;-0.01916556;-0.073298349;-0.115174338;-0.071389008
Jun-19;0.063979198;6.17E-02;0.070906833;0.055720965;0.029099589;0.031196148;0.054040769;0.074194712;0.07091771
Jul-19;0.01528092;2.82E-02;0.014730825;0.008790824;0.008047932;0.001686833;-0.019145177;0.007236986;0.012242645
Ago-19;-0.030052986;-8.62E-03;-0.043196204;-0.055886316;0.071033573;0.007104749;-0.03782622;-0.079963799;-0.04123148
Set-19;0.029539234;-1.88E-03;-0.010118209;0.045621707;-0.017280174;0.004355094;0.016919639;0.056084117;0.034403782
Oct-19;0.020591222;3.10E-02;0.018545453;0.029794466;-0.010221443;0.000127035;0.041840038;0.0216695;0.013858084
Nov-19;0.030829408;4.44E-02;0.071712954;0.022305792;0.01257507;0.005535008;-0.000939468;0.031717056;0.027337269
Dic-19;0.017899693;2.62E-02;0.020240919;0.027653489;-0.01209575;0.015726047;0.054771927;0.018031153;-0.005321988
Ene-20;-0.012994512;2.53E-02;-0.008091425;-0.04642226;0.057568747;0.002826763;-0.041464138;-0.049286835;0.001951014
Feb-20;-0.092917002;-6.63E-02;-0.070569318;-0.096273732;0.030717629;-0.017022794;-0.037758213;-0.107888951;-0.105350254
Mar-20;-0.181345499;-1.03E-01;-0.19722897;-0.255017799;-0.032437507;-0.100492505;-0.157699906;-0.268088052;-0.202219433
Abr-20;0.121283255;1.50E-01;0.155236931;0.131845768;0.031603657;0.048226172;0.073542265;0.161498347;0.118238022
May-20;0.034914445;6.68E-02;0.093506569;0.031199318;0.010024769;0.029886629;0.029748936;0.028453625;0.03317208
Jun-20;-0.013144074;4.14E-02;0.037514474;0.023846917;0.018148406;-0.005142032;0.059899323;0.024057817;-0.006020067
Jul-20;0.046425878;7.99E-02;0.036524871;0.02554581;0.056044245;0.050280198;0.088801671;0.034670687;0.039030956
Ago-20;0.04080942;1.02E-01;0.058109154;0.053668374;-0.036954168;-1.34037E-05;0.028875028;0.055766271;0.043393847
Set-20;-0.03100656;-4.84E-02;-0.022073163;-0.052556252;-0.00244659;-0.00933345;-0.0101033;-0.054976721;-0.034761078
Oct-20;-0.005778172;-3.17E-02;0.008953925;0.042911141;-0.017523396;0.003787267;0.014062123;0.043511968;-0.015434084
Nov-20;0.134755449;8.65E-02;0.139758943;0.18428977;0.022803341;0.028697556;0.094386068;0.177761558;0.132593076
