"";"ID";"anio";"dpto";"nom_dpto";"barrio";"REGION_4";"e26";"e27";"e29_6";"e49";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e215_1";"e218_1";"e221_1";"e224_1";"e51_9";"e51_10";"e51_11";"f85";"f98";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"POBPCOAC";"PT1";"PT2";"PT4";"YDA";"edu";"exp";"lpt1";"pt1";"lpt4";"pt4";"exp2"
"20";57639;2024;1;"Montevideo";5;1;2;28;3;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;4;0;0;36;36;2;2;2;1;1;2;129500,48;59500,48;129500,48;125294,12;16;6;11,7714398666786;129500;11,7714398666786;129500;36
"21";57643;2024;1;"Montevideo";4;1;1;50;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;1;2;147206,36;147206,36;147206,36;143000;6;38;11,8995906908653;147206;11,8995906908653;147206;1444
"22";57644;2024;1;"Montevideo";4;1;1;46;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;1;2;38000;38000;38000;88539,36;10;30;10,5453414387085;38000;10,5453414387085;38000;900
"23";57644;2024;1;"Montevideo";4;1;1;22;0;1;1;6;0;1;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;34;0;2;2;2;1;1;2;30539,36;30539,36;30539,36;88539,36;11;5;10,3267716224299;30539;10,3267716224299;30539;25
"24";57645;2024;1;"Montevideo";4;1;2;25;3;1;1;6;0;1;0;1;0;3;0;3;0;4;1;0;0;0;0;0;0;30;0;2;2;2;1;2;2;89206,36;89206,36;89206,36;189600;16;3;11,3987076164748;89206;11,3987076164748;89206;9
"25";57645;2024;1;"Montevideo";4;1;1;33;4;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;60;0;2;2;2;1;2;2;108806,36;108806,36;108806,36;189600;9;18;11,5973250675779;108806;11,5973250675779;108806;324
"26";57646;2024;1;"Montevideo";4;1;2;48;1;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;30;0;2;2;1;1;2;2;73206,36;73206,36;73206,36;214603;12;30;11,201037581421;73206;11,201037581421;73206;900
"27";57646;2024;1;"Montevideo";4;1;1;28;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;44;0;2;2;2;2;1;2;55719,36;55719,36;55719,36;214603;9;13;10,9280829418263;55719;10,9280829418263;55719;169
"28";57647;2024;1;"Montevideo";4;1;2;35;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;6;0;0;40;0;2;2;2;1;9;2;49206,36;49206,36;49206,36;45000;18;11;10,8037781624187;49206;10,8037781624187;49206;121
"29";57649;2024;1;"Montevideo";41;1;2;65;4;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;1;2;2;1;1;2;37600;7000;11800;37600;6;53;10,534759329378;37600;9,37585481045376;11800;2809
"30";57650;2024;1;"Montevideo";41;1;1;47;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;24;20;2;2;2;1;1;2;43906,36;25406,36;43906,36;82410,7373075014;9;32;10,6898144632852;43906;10,6898144632852;43906;1024
"31";57650;2024;1;"Montevideo";41;1;2;46;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;2;2;2;1;1;2;46606,36;46606,36;46606,36;82410,7373075014;6;34;10,7494922914878;46606;10,7494922914878;46606;1156
"32";57651;2024;1;"Montevideo";41;1;1;22;0;1;1;6;0;1;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;44;0;2;2;2;1;1;2;39706,36;39706,36;39706,36;35500;11;5;10,5892666553557;39706;10,5892666553557;39706;25
"33";57652;2024;1;"Montevideo";41;1;2;47;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;5;0;1;40;0;2;2;2;1;1;2;117539,36;116539,36;116539,36;165867,1;18;23;11,6745285351969;117539;11,6659843490053;116539;529
"34";57652;2024;1;"Montevideo";41;1;2;24;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;25;0;2;2;2;2;8;2;51206,36;51206,36;51206,36;165867,1;12;6;10,8436190220631;51206;10,8436190220631;51206;36
"35";57654;2024;1;"Montevideo";41;1;1;33;4;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;45;0;2;2;2;1;1;2;251206,36;251206,36;251206,36;321000;12;15;12,434030031727;251206;12,434030031727;251206;225
"36";57654;2024;1;"Montevideo";41;1;1;37;3;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;45;0;2;2;2;1;1;2;78206,36;78206,36;78206,36;321000;12;19;11,2671062531496;78206;11,2671062531496;78206;361
"37";57655;2024;1;"Montevideo";41;1;1;27;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;36;0;2;2;1;1;2;2;63206,36;63206,36;63206,36;125000;10;11;11,0541602079832;63206;11,0541602079832;63206;121
"38";57656;2024;1;"Montevideo";41;1;1;38;0;1;1;6;0;1;0;2;2;3;0;1;2;0;0;0;0;0;0;0;0;53;0;2;2;2;1;1;2;138446,36;138446,36;138446,36;181540;12;20;11,8382382371737;138446;11,8382382371737;138446;400
"39";57657;2024;1;"Montevideo";41;1;1;36;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;5;0;0;45;0;2;2;2;2;9;2;94206,36;94206,36;94206,36;177000;17;13;11,4532429742089;94206;11,4532429742089;94206;169
"40";57658;2024;1;"Montevideo";41;1;1;51;0;1;1;6;0;1;0;2;1;3;0;1;3;0;0;0;0;0;0;0;0;40;0;2;2;2;1;9;2;180873,026666667;180873,026666667;180873,026666667;263666,666666667;13;32;12,1055505539457;180873;12,1055505539457;180873;1024
"41";57658;2024;1;"Montevideo";41;1;2;44;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;1;2;56206,36;56206,36;56206,36;263666,666666667;12;26;10,9367851967386;56206;10,9367851967386;56206;676
"42";57662;2024;1;"Montevideo";60;1;2;22;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;44;0;2;2;2;2;1;2;41206,36;41206,36;41206,36;100515;12;4;10,626347892356;41206;10,626347892356;41206;16
"43";57664;2024;1;"Montevideo";60;1;2;59;0;1;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;30;35;2;2;2;1;2;2;76006,36;39206,36;76006,36;103800;8;45;11,2385722999777;76006;11,2385722999777;76006;2025
"44";57665;2024;1;"Montevideo";60;1;1;54;0;1;1;6;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;50;0;2;2;2;2;1;2;42206,36;42206,36;42206,36;71086,5807370486;9;39;10,6503261995688;42206;10,6503261995688;42206;1521
"45";57666;2024;1;"Montevideo";60;1;2;55;3;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;2;2;2;1;1;2;52958,36;49758,36;49758,36;68962,7196151442;5;44;10,877261223364;52958;10,8149337686706;49758;1936
"46";57667;2024;1;"Montevideo";60;1;2;47;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;36;0;2;2;2;1;9;2;40000;40000;40000;46182,8978452799;9;32;10,5966347330961;40000;10,5966347330961;40000;1024
"47";57667;2024;1;"Montevideo";60;1;2;27;0;1;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;48;0;2;2;2;2;1;2;6506,36;4206,36;4206,36;46182,8978452799;8;13;8,78053543904073;6506;8,34435294461127;4206;169
"48";57669;2024;1;"Montevideo";60;1;2;48;0;1;1;6;0;1;0;1;1;3;0;3;3;0;0;0;0;0;0;0;0;37;0;2;2;2;1;2;2;67212,72;67212,72;67212,72;160300;15;27;11,1156177943132;67213;11,1156177943132;67213;729
"49";57669;2024;1;"Montevideo";60;1;1;49;0;1;1;6;0;1;1;2;0;3;3;1;0;0;0;0;0;0;0;0;0;48;0;2;2;2;2;9;2;82706,36;82706,36;82706,36;160300;13;30;11,3230517825288;82706;11,3230517825288;82706;900
"50";57670;2024;1;"Montevideo";60;1;1;59;3;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;1;0;4;3;0;19;30;2;2;1;1;2;2;87206,36;42206,36;87206,36;396951,2;19;34;11,3760325430172;87206;11,3760325430172;87206;1156
"51";57670;2024;1;"Montevideo";60;1;2;57;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;6;0;4;30;36;2;2;1;1;1;2;298157,56;185507,16;293157,56;396951,2;22;29;12,605377350594;298158;12,5884654909051;293158;841
"52";57671;2024;1;"Montevideo";60;1;2;75;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;1;2;1;1;9;2;36000;20000;20000;60294,12;4;65;10,4912742174382;36000;9,90348755253613;20000;4225
"53";57673;2024;1;"Montevideo";60;1;2;42;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;24;16;2;2;2;1;1;2;68918,36;43213,56;68918,36;169964;9;27;11,1406778946536;68918;11,1406778946536;68918;729
"54";57673;2024;1;"Montevideo";60;1;1;40;1;1;1;6;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;1;2;73206,36;73206,36;73206,36;169964;7;27;11,201037581421;73206;11,201037581421;73206;729
"55";57674;2024;1;"Montevideo";60;1;1;43;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;3;0;0;40;0;2;2;2;1;1;2;94206,36;94206,36;94206,36;108000;15;22;11,4532429742089;94206;11,4532429742089;94206;484
"56";57676;2024;1;"Montevideo";60;1;1;66;1;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;50;0;1;2;2;1;9;2;55000;15000;15000;125000;12;48;10,9150884642146;55000;9,61580548008435;15000;2304
"57";57676;2024;1;"Montevideo";60;1;2;35;3;1;1;6;0;0;1;0;1;0;3;0;3;0;0;0;1;0;0;3;0;44;0;2;2;2;1;1;2;54206,36;54206,36;54206,36;125000;15;14;10,900553523717;54206;10,900553523717;54206;196
"58";57677;2024;1;"Montevideo";60;1;1;47;0;1;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;44;0;2;2;2;1;4;2;54206,36;54206,36;54206,36;185902,4;8;33;10,900553523717;54206;10,900553523717;54206;1089
"59";57678;2024;1;"Montevideo";60;1;2;38;0;1;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;48;0;2;2;2;1;1;2;54206,36;49206,36;49206,36;63967,2081857672;8;24;10,900553523717;54206;10,8037781624187;49206;576
"60";57680;2024;1;"Montevideo";60;1;2;37;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;0;4;0;0;14;0;2;2;2;1;1;2;55500,48;55500,48;55500,48;132122,34;16;15;10,9241469483458;55500;10,9241469483458;55500;225
"61";57680;2024;1;"Montevideo";60;1;1;33;0;1;1;6;0;1;0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;48;0;2;2;2;1;1;2;57206,36;57206,36;57206,36;132122,34;11;16;10,9544203599981;57206;10,9544203599981;57206;256
"62";57682;2024;1;"Montevideo";59;1;1;54;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;45;0;2;2;2;1;1;2;50206,36;50206,36;50206,36;61000;10;38;10,823896990882;50206;10,823896990882;50206;1444
"63";57683;2024;1;"Montevideo";59;1;2;54;0;1;1;6;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;45;0;2;2;2;1;1;2;72826,36;72826,36;72826,36;101620;7;41;11,1958332565589;72826;11,1958332565589;72826;1681
"64";57684;2024;1;"Montevideo";59;1;1;59;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;45;0;2;2;2;1;2;2;109206,36;109206,36;109206,36;184000;10;43;11,6009945823552;109206;11,6009945823552;109206;1849
"65";57684;2024;1;"Montevideo";59;1;2;43;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;2;2;83206,36;83206,36;83206,36;184000;12;25;11,3290790661954;83206;11,3290790661954;83206;625
"66";57686;2024;1;"Montevideo";59;1;2;41;1;1;1;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;30;0;2;2;2;1;8;2;27901,44;23706,36;23706,36;60359,3;8;27;10,2364335793808;27901;10,073498645553;23706;729
"67";57687;2024;1;"Montevideo";59;1;2;66;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;3;0;0;8;4;2;2;2;1;1;2;12500;10500;12500;65000;15;45;9,43348392329039;12500;9,43348392329039;12500;2025
"68";57688;2024;1;"Montevideo";59;1;1;56;0;1;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;0;0;0;48;0;2;2;2;1;2;2;114706,84;114706,84;114706,84;211609,24;10;40;11,6501349351668;114707;11,6501349351668;114707;1600
"69";57689;2024;1;"Montevideo";59;1;2;48;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;2;0;0;48;0;2;2;2;1;1;2;77206,36;77206,36;77206,36;162294,12;14;28;11,2542371160392;77206;11,2542371160392;77206;784
"70";57691;2024;1;"Montevideo";59;1;2;44;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;12;0;2;2;2;1;9;2;10000;10000;10000;106119,1;12;26;9,21034037197618;10000;9,21034037197618;10000;676
"71";57692;2024;1;"Montevideo";23;1;2;66;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;1;0;1;2;2;1;9;2;25500;1000;1000;35500;12;48;10,1464337311465;25500;6,90775527898214;1000;2304
"72";57693;2024;1;"Montevideo";23;1;1;42;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;40;0;2;2;2;1;1;2;53206,36;53206,36;53206,36;82800;9;27;10,8819332170565;53206;10,8819332170565;53206;729
"73";57695;2024;1;"Montevideo";23;1;2;48;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;72;0;2;2;2;1;9;2;84206,36;84206,36;84206,36;98000;9;33;11,3410257318196;84206;11,3410257318196;84206;1089
"74";57695;2024;1;"Montevideo";23;1;1;45;0;1;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;72;0;2;2;2;1;7;2;4206,36;0;4206,36;98000;9;30;8,34435294461127;4206;8,34435294461127;4206;900
"75";57696;2024;1;"Montevideo";23;1;2;26;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;1;0;0;3;0;40;0;2;2;2;1;1;2;77206,36;77206,36;77206,36;161000;15;5;11,2542371160392;77206;11,2542371160392;77206;25
"76";57696;2024;1;"Montevideo";23;1;1;36;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;44;0;2;2;2;1;1;2;77206,36;77206,36;77206,36;161000;12;18;11,2542371160392;77206;11,2542371160392;77206;324
"77";57697;2024;1;"Montevideo";23;1;2;51;1;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;0;0;0;30;0;2;2;2;1;2;2;66206,36;66206,36;66206,36;62000;12;33;11,100531809818;66206;11,100531809818;66206;1089
"78";57698;2024;1;"Montevideo";11;1;1;59;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;2;0;0;40;0;2;2;2;1;1;2;83360,36;83360,36;83360,36;119448,12;14;39;11,3309281755959;83360;11,3309281755959;83360;1521
"79";57699;2024;1;"Montevideo";11;1;2;39;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;1;0;1;4;0;2;15;0;2;2;2;1;9;2;54206,36;34206,36;34206,36;95500,48;18;15;10,900553523717;54206;10,4401668706736;34206;225
"80";57700;2024;1;"Montevideo";11;1;1;55;0;1;1;6;0;1;0;1;0;3;0;3;0;0;0;0;1;0;0;3;0;30;0;2;2;1;1;1;2;254206,36;254206,36;254206,36;681666,666666667;15;34;12,4459016570941;254206;12,4459016570941;254206;1156
